DeFi Application,Address,Chain
Floor Dao,0xf59257E961883636290411c11ec5Ae622d19455e,ETH
Alchemist,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,ETH
OVR,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,ETH
Cook Finance,0xFF75CEd57419bcaEBe5F05254983b013B0646eF5,ETH
Giveth,0x900dB999074d9277c5DA2A43F252D74366230DA0,ETH
EPNS,0xf418588522d5dd018b425E472991E52EBBeEEEEE,ETH
Dogs of Elon,0xf8e9f10c22840b613cda05a0c5fdb59a4d6cd7ef,ETH
NAOS Finance,0x4a615bb7166210cce20e6642a6f8fb5d4d044496,ETH
Ooki,0x0De05F6447ab4D22c8827449EE4bA2D5C288379B,ETH
ForTube,0x1fcdce58959f536621d76f5b7ffb955baa5a672f,ETH
Geyser,0xbEa98c05eEAe2f3bC8c3565Db7551Eb738c8CCAb,ETH
Squid Stake,0xAE61e7dc989718E700C046a2483e93513eDCA484,BSC
Pacoca,0x55671114d774ee99d653d6c12460c780a67f1d18,BSC
Growth DeFi,0x4adae3ad22c4e8fb56d4ae5c7eb3abc0dd2d3379,BSC
Green Planet,0xb3cb6d2f8f2fde203a022201c81a96c167607f15,BSC
Defi Swap,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,ETH
Nearpad,0xea7cc765ebc94c4805e3bff28d7e4ae48d06468a,ETH
X2Y2,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,ETH
Vaulty Finance,0x38a5cbe2fb53d1d407dd5a22c4362daf48eb8526,BSC
Tokenlon,0x0000000000095413afc295d19edeb1ad7b71c952,ETH
PinkSwap,0x702b3f41772e321aacCdea91e1FCEF682D21125D,BSC
Zest Protocol,0x2C26617034C840C9412CD67aE0Fc68A6755D00BF,Fantom
Wrapped ILCOIN,0xc98a910ede52e7d5308525845f19e17470dbccf7,ETH
Babylon Finance,0xf4dc48d260c93ad6a96c5ce563e70ca578987c74,ETH
Scarab Finance,0x2e79205648b85485731cfe3025d66cf2d3b059c4,Fantom
Arch Ethereum Web3,0xe8e8486228753E01Dbc222dA262Aa706Bd67e601,ETH
Centrifuge,0xc221b7e65ffc80de234bbb6667abdd46593d34f0,ETH
OraiChain,0x4c11249814f11b9346808179cf06e71ac328c1b5,ETH
PolygonFarm Finance,0xf5EA626334037a2cf0155D49eA6462fDdC6Eff19,Polygon
SYNC Network,0xB6ff96B8A8d214544Ca0dBc9B33f7AD6503eFD32,ETH
GOGOcoin,0xdd2af2e723547088d3846841fbdcc6a8093313d6,Polygon
CerberusDAO,0x8a14897ea5f668f36671678593fae44ae23b39fb,ETH
VampireSwap,0x97058c0B5ff0E0E350e241EBc63b55906a9EADbc,Fantom
Mint Club,0x1f3af095cda17d63cad238358837321e95fc5915,BSC
Perlin,0xeca82185adce47f39c684352b0439f030f860318,ETH
Exodia,0x3b57f3feaaf1e8254ec680275ee6e7727c7413c7,Fantom
Firebird,0xd78c475133731cd54dadcb430f7aae4f03c1e660,Polygon
Popcorn,0xd0cd466b34a24fcb2f87676278af2005ca8a78c4,ETH
Frax Ether,0x5E8422345238F34275888049021821E8E08CAa1f,ETH
The Sandbox,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,ETH
0x NODES,0xaaca86b876ca011844b5798eca7a67591a9743c8,ETH
DAO Swap,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,ETH
ZodiacDAO,0x98051143830fa99848e7059e97acb03b3cc62403,BSC
Dev Protocol,0x5caf454ba92e6f2c929df14667ee360ed9fd5b26,ETH
UnoRe,0x474021845C4643113458ea4414bdb7fB74A01A77,BSC
Ripae,0x8a41f13a4FaE75ca88B1ee726ee9D52B148b0498,Fantom
Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,ETH
CashCow Finance,0xf823f18d13df1ffdced206708d389dd455bb802b,BSC
Defirex,0x74b3abb94e9e1ecc25bd77d6872949b4a9b2aacf,BSC
ApolloX,0x78F5d389F5CDCcFc41594aBaB4B0Ed02F31398b3,BSC
Dystopia,0x39aB6574c289c3Ae4d88500eEc792AB5B947A5Eb,Polygon
RFOX,0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,BSC
Buffaloswap,0x10a49f1fc8c604ea7f1c49bcc6ab2a8e58e77ea5,BSC
Bearn,0x81859801b01764d4f0fa5e64729f5a6c3b91435b,BSC
FFIST,0x80121DA952A74c06adc1d7f85A237089b57AF347,BSC
LeetSwap,0x94dAC4a3Ce998143aa119c05460731dA80ad90cf,BASE
Twindex,0x41171d5770c4c68686d1af042ada88a45b02f82b,BSC
Magik Finance AlgoStable,0x87a5c9b60a3aaf1064006fe64285018e50e0d020,Fantom
LendFlare,0xB620Be8a1949AA9532e6a3510132864EF9Bc3F82,ETH
Giza DAO,0x3389492f36642f27F7bF4a7749fb3FC2c8fbB7EE,Fantom
MahaDAO Arth,0xb4d930279552397bba2ee473229f89ec245bc365,ETH
ChainPort,0x104f3152d8ebfc3f679392977356962ff36566ac,ETH
Hermes Defi,0xdab35042e63e93cc8556c9bae482e5415b5ac4b1,Polygon
Devil Finance,0x174c7106AEeCdC11389f7dD21342F05f46CCB40F,Fantom
Bent Finance,0x01597e397605bf280674bf292623460b4204c375,ETH
Rubik Finance,0xA4Db7f3b07c7Bf1b5E8283Bf9e8aA889569fc2e7,Fantom
CryptoSwap,0xcC4b3EA1F25c8772D390dA1DB507832aBE4a9740,BSC
LUSD ChickenBonds,0xB9D7DdDca9a4AC480991865EfEf82E01273F79C3,ETH
WardenSwap,0x0feadcc3824e7f3c12f40e324a60c23ca51627fc,BSC
dYdX,0x92d6c1e31e14520e676a687f0a93788b716beff5,ETH
Beta Finance,0xbe1a001fe942f96eea22ba08783140b9dcc09d28,ETH
ETHA Lend,0x59e9261255644c411afdd00bd89162d09d862e38,ETH
AtmosSoft,0xC53C65C4A925039cC149fA99fD011490D40270a3,BSC
BITPIF,0x5197fbe1a86679ff1360e27862bf88b0c5119bd8,ETH
Stader,0x30d20208d987713f46dfd34ef128bb16c404d10f,ETH
Demodyfi,0x002d8563759f5e1eaf8784181f3973288f6856e4,BSC
Beanstalk,0xBEA0000029AD1c77D3d5D23Ba2D8893dB9d1Efab,ETH
Oni Exchange,0x6c77BB19C69d66bEA9E3CDAea108A76eA8D2Fd2A,BSC
Rabbit Finance,0x95a1199eba84ac5f19546519e287d43d2f0e1b41,BSC
Varen,0x72377f31e30a405282b522d588aebbea202b4f23,ETH
Nerve Network,0xf0e406c49c63abf358030a299c0e00118c4c6ba5,BSC
Reflexer,0x6243d8cea23066d098a15582d81a598b4e8391f4,ETH
Antimatter,0x9B99CcA871Be05119B2012fd4474731dd653FEBe,ETH
KLend,0xf95995d642c652e9a7d124d546a7bdf297c6d0fb,BSC
Coinswap Space,0x3bc5798416c1122bcfd7cb0e055d50061f23850d,BSC
Monster,0x152888854378201e173490956085c711f1DeD565,Fantom
MiniVerse Finance,0x57976c467608983513c9355238dc6de1b1abbcca,Fantom
KACO Finance,0xf96429A7aE52dA7d07E60BE95A3ece8B042016fB,BSC
ACryptoS,0x4197c6ef3879a08cd51e5560da5064b773aa1d29,BSC
PowerPool,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,ETH
Tokemak,0x2e9d63788249371f1dfc918a52f8d799f4a38c94,ETH
RetroDefi,0xa6e53f07bD410df069e20Ced725bdC9135146Fe9,BSC
XCarnival,0x493CbBd4A5da462E3dbc3E5c8e2A1E37D1D03CAc,ETH
ApeSwap Lending,0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,BSC
SandClock,0xbA8A621b4a54e61C442F5Ec623687e2a942225ef,ETH
MixSwap Finance,0xb8b9e96e9576af04480ff26ee77d964b1996216e,BSC
PEAKDEFI,0x630d98424efe0ea27fb1b3ab7741907dffeaad78,ETH
SoulSwap,0xe2fb177009ff39f52c0134e8007fa0e4baacbd07,Fantom
Armor,0x1337def16f9b486faed0293eb623dc8395dfe46a,ETH
Sunrise Gaming,0x692aCCdD8b86692427E0aa4752AE917Df01CC56F,ETH
Dopex,0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,ETH
Premia,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,ETH
Goldfinch,0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,ETH
Rhino.fi,0xdddddd4301a082e62e84e43f474f044423921918,ETH
O3 Swap,0xee9801669c6138e84bd50deb500827b776777d28,ETH
Planet Farm,0x72b7d61e8fc8cf971960dd9cfa59b8c829d91991,BSC
Raven,0x175cbf2809acfd7521fdd387d65aac523fe4076f,Fantom
PantherSwap,0x1f546ad641b56b86fd9dceac473d1c7a357276b7,BSC
Suterusu,0xaa2ce7ae64066175e0b90497ce7d9c190c315db4,ETH
NFT20,0xb6ca7399b4f9ca56fc27cbff44f4d2e4eef1fc81,ETH
