DeFi Application,Address,Chain
Ubiquity DAO,0x4e38d89362f7e5db0096ce44ebd021c3962aa9a0,ETH
Maple,0x33349b282065b0284d756f0577fb39c158f935e6,ETH
Tornado Cash,0x77777feddddffc19ff86db637967013e6c6a116c,ETH
Smoothy,0xbf776e4fca664d791c4ee3a71e2722990e003283,ETH
SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,ETH
Meme Dollar,0x02814F435dD04e254Be7ae69F61FCa19881a780D,ETH
Ferrum,0xe5caef4af8780e59df925470b050fb23c43ca68c,ETH
Gravis Finance,0x190cec0657a02e9eab1c1df5d59f9139131cf539,BSC
Spherium,0x8a0cdfab62ed35b836dc0633482798421c81b3ec,ETH
0xDAO,0xc165d941481e68696f43EE6E99BFB2B23E0E3114,Fantom
Niob Finance,0x5ac5e6Af46Ef285B3536833E65D245c49b608d9b,BSC
handle.fi,0xdb298285fe4c5410b05390ca80e8fbe9de1f259b,ETH
SquidDao,0x21ad647b8f4fe333212e735bfc1f36b4941e6ad2,ETH
pNetwork,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,ETH
MM Optimizer Polygon,0x859a50979fdB2A2fD8Ba1AdCC66977C6f6b1CD5B,Polygon
LuaSwap,0xb1f66997a5760428d3a87d68b90bfe0ae64121cc,ETH
JustMoney,0x388D819724dD6d71760A38F00dc01D310d879771,BSC
SpiritSwap AMM,0x5cc61a78f164885776aa610fb0fe1257df78e59b,Fantom
Ester Finance,0x181f3f22c9a751e2ce673498a03e1fdfc0ebbfb6,Fantom
MOBOX,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,BSC
Dino.Exchange,0xf317932ee2c30fa5d0e14416775977801734812d,BSC
Rari Capital,0xD291E7a03283640FDc51b121aC401383A46cC623,ETH
RobiniaSwap,0xAfAEEe58a58867c73245397C0F768FF041D32d70,BSC
Jade Protocol,0x7ad7242A99F21aa543F9650A56D141C57e4F6081,BSC
Hakka Finance,0x0E29e5AbbB5FD88e28b2d355774e73BD47dE3bcd,ETH
SpectreFi,0x2834d4F4cC40bd7D78c07E2D848358364222C272,Fantom
NFTb,0xde3dbbe30cfa9f437b293294d1fd64b26045c71a,BSC
PolyShield,0xf239e69ce434c7fb408b05a0da416b14917d934e,Polygon
Sommelier,0xa670d7237398238de01267472c6f13e5b8010fd1,ETH
Nasdex,0xE8d17b127BA8b9899a160D9a07b69bCa8E08bfc6,Polygon
CryptoBlades,0x154a9f9cbd3449ad22fdae23044319d6ef2a1fab,BSC
PERI Finance,0x5d30ad9c6374bf925d0a75454fa327aacf778492,ETH
TreeDefi,0x40b34cc972908060d6d527276e17c105d224559d,BSC
Comet Finance,0xbeBB20cD6364998b8cAfc3d6B86f1ca6363fF910,Fantom
GemMine,0x1e2a499fAefb88B2d085d7036f3f7895542b09De,Fantom
Capital DAO,0x3c48ca59bf2699e51d4974d4b6d284ae52076e5e,ETH
Strike,0x74232704659ef37c08995e386a2e26cc27a8d7b1,ETH
Fastyield Finance,0x0299461eE055bbb6dE11fAfE5a0636A0C3Bd5E8d,Fantom
stake.link,0xa95c5ebb86e0de73b4fb8c47a45b792cfea28c23,ETH
Asgard Finance,0x0dc5189ec8cde5732a01f0f592e927b304370551,ETH
Bogged Finance,0xb09fe1613fe03e7361319d2a43edc17422f36b09,BSC
Defi Yield Protocol,0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17,ETH
Kimochi,0x4da95bd392811897cde899d25face253a424bfd4,BSC
Scientix,0x2CFC48CdFea0678137854F010b5390c5144C0Aa5,BSC
UniCrypt,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,ETH
Radial,0x79360aF49edd44F3000303ae212671ac94bB8ba7,Fantom
YieldFields,0x04d50c032f16a25d1449ef04d893e95bcc54d747,BSC
Nest Protocol Staking,0x04abeda201850ac0124161f037efd70c74ddc74c,ETH
SumSwap,0x043c308bb8a5ae96d0093444be7f56459f1340b1,ETH
Flashstake OLD,0x20398ad62bb2d930646d45a6d4292baa0b860c1f,ETH
Coffin Finance,0x593ab53baffaf1e821845cf7080428366f030a9c,Fantom
Guard-Helmet,0x948d2a81086A075b3130BAc19e4c6DEe1D2E3fE8,Polygon
Quickswap V3,0xb5c064f955d8e7f38fe0460c556a72987494ee17,Polygon
Dibs Money,0xfd81ef21ea7cf1dc00e9c6dd261b4f3be0341d5c,BSC
Revault,0x4fdd92bd67acf0676bfc45ab7168b3996f7b4a3b,BSC
Level Finance,0xB64E280e9D1B5DbEc4AcceDb2257A87b400DB149,BSC
Polkaswap,0x519c1001d550c0a1dae7d1fc220f7d14c2a521bb,ETH
ShiroSwap,0x4ddba615a7F6ee612d3a23C6882B698dFBbef7E7,BSC
Revoluzion,0x7d89c67d3c4e72e8c5c64be201dc225f99d16aca,BSC
Sapphire Defi,0xfa7d8c3CccC90c07c53feE45A7a333CEC40B441B,Fantom
Definix,0x0f02b1f5af54e04fb6dd6550f009ac2429c4e30d,BSC
BunnyPark,0xACB8f52DC63BB752a51186D1c55868ADbFfEe9C1,BSC
UniTrade,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,ETH
Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,ETH
Integral,0xd502f487e1841fdc805130e13eae80c61186bc98,ETH
Notional,0xcfeaead4947f0705a14ec42ac3d44129e1ef3ed5,ETH
PULI,0xaef0a177c8c329cbc8508292bb7e06c00786bbfc,BSC
Carson,0x0aCD5019EdC8ff765517e2e691C5EeF6f9c08830,BSC
Dfyn Network,0xc168e40227e4ebd8c1cae80f7a55a4f0e6d66c97,Polygon
MyTrade,0x4535E52cdF3AB787B379b7b72B5990767E6747E4,Polygon
Waterfall BSC,0xFdf36F38F5aD1346B7f5E4098797cf8CAE8176D0,BSC
Interest Protocol,0x2a54ba2964c8cd459dc568853f79813a60761b58,ETH
Hegic,0x584bC13c7D411c00c01A62e8019472dE68768430,ETH
Brokoli Network,0x4674a4f24c5f63d53f22490fb3a08eaaad739ff8,ETH
OpenOcean,0x9029fdfae9a03135846381c7ce16595c3554e10a,BSC
Venus,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,BSC
BullionFX,0xb439b8731ee047799019ef0b745a51d256b116af,ETH
Polycat Dex,0x3a3df212b7aa91aa0402b9035b098891d276572b,Polygon
Harvest Finance,0xa0246c9032bC3A600820415aE600c6388619A14D,ETH
Aavegotchi,0x3F382DbD960E3a9bbCeaE22651E88158d2791550,ETH
Phuture,0xE1Fc4455f62a6E89476f1072530C20CF1A0622dA,ETH
Unizen,0xc52c326331e9ce41f04484d3b5e5648158028804,ETH
citaDAO,0x3541A5C1b04AdABA0B83F161747815cd7B1516bC,ETH
StrikeX,0xd6fdde76b8c1c45b33790cc8751d5b88984c44ec,BSC
Idle Finance,0x875773784Af8135eA0ef43b5a374AaD105c5D39e,ETH
OCP Finance,0x3c70260eee0a2bfc4b375feb810325801f289fbd,BSC
DeltaTheta,0x3a06212763caf64bf101daa4b0cebb0cd393fa1a,BSC
ShadeCash,0x3a3841f5fa9f2c283ea567d5aeea3af022dd2262,Fantom
Bolide,0x766AFcf83Fd5eaf884B3d529b432CA27A6d84617,BSC
Alpaca Finance,0x8f0528ce5ef7b51152a59745befdd91d97091d2f,BSC
CryptEx Locker,0x97a30C692eCe9C317235d48287d23d358170FC40,BSC
Octane Finance,0x5416AB2B4B5a40F740B67a83dc5939591B5c08BE,BSC
The Tokenized Bitcoin,0x3212b29E33587A00FB1C83346f5dBFA69A458923,ETH
CafeSwap,0x790be81c3ca0e53974be2688cdb954732c9862e1,BSC
Based V1,0x8D7d3409881b51466B483B11Ea1B8A03cdEd89ae,Fantom
Instrumental Finance,0x0edf9bc41bbc1354c70e2107f80c42cae7fbbca8,ETH
Strudel Finance,0x297d33e17e61c2ddd812389c2105193f8348188a,ETH
Entropyfi,0x28accA4ed2F6186c3D93e20e29e6e6a9Af656341,Polygon
Badger DAO,0x3472A5A71965499acd81997a54BBA8D852C6E53d,ETH
